symbol,bidPrice,bidQty,askPrice,askQty
ETCTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BATUSDC,0.72130000,333.65000000,0.72640000,5058.42000000
BATPAX,0.00000000,0.00000000,0.00000000,0.00000000
BATTUSD,0.00000000,0.00000000,0.00000000,0.00000000
PHBBNB,0.00000000,0.00000000,0.00000000,0.00000000
PHBBTC,0.00000024,9815961.00000000,0.00000025,8792012.00000000
PHBUSDC,0.00000000,0.00000000,0.00000000,0.00000000
PHBTUSD,0.00952000,2764.80000000,0.00955000,3994.20000000
PHBPAX,0.00000000,0.00000000,0.00000000,0.00000000
TFUELBNB,0.00000000,0.00000000,0.00000000,0.00000000
TFUELBTC,0.00000690,6131.00000000,0.00000693,36.00000000
TFUELUSDT,0.26739000,18868.60000000,0.26887000,12699.60000000
TFUELUSDC,0.00000000,0.00000000,0.00000000,0.00000000
TFUELTUSD,0.00000000,0.00000000,0.00000000,0.00000000
TFUELPAX,0.00000000,0.00000000,0.00000000,0.00000000
ONEBNB,0.00032490,423.00000000,0.00032620,10379.00000000
ONEBTC,0.00000286,595.00000000,0.00000287,84600.00000000
ONEUSDT,0.11085000,298.80000000,0.11092000,319.00000000
ONETUSD,0.00000000,0.00000000,0.00000000,0.00000000
ONEPAX,0.00000000,0.00000000,0.00000000,0.00000000
ONEUSDC,0.00000000,0.00000000,0.00000000,0.00000000
FTMBNB,0.00100400,13.00000000,0.00100800,7517.00000000
FTMBTC,0.00000881,20702.00000000,0.00000885,5345.00000000
FTMUSDT,0.34194000,12000.00000000,0.34278000,211.80000000
FTMTUSD,0.00000000,0.00000000,0.00000000,0.00000000
FTMPAX,0.00000000,0.00000000,0.00000000,0.00000000
FTMUSDC,0.00000000,0.00000000,0.00000000,0.00000000
BTCBBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCPTTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BCPTPAX,0.00000000,0.00000000,0.00000000,0.00000000
BCPTUSDC,0.00000000,0.00000000,0.00000000,0.00000000
ALGOBNB,0.00284600,3482.30000000,0.00286000,7269.00000000
ALGOBTC,0.00002506,12648.00000000,0.00002510,7740.00000000
ALGOUSDT,0.97200000,100.00000000,0.97280000,993.79000000
ALGOTUSD,0.97010000,663.05000000,0.97680000,677.96000000
ALGOPAX,0.00000000,0.00000000,0.00000000,0.00000000
ALGOUSDC,0.00000000,0.00000000,0.00000000,0.00000000
USDSBUSDT,0.00000000,0.00000000,0.00000000,0.00000000
USDSBUSDS,0.00000000,0.00000000,0.00000000,0.00000000
GTOUSDT,0.02920000,4478.80000000,0.02930000,39426.10000000
GTOPAX,0.00000000,0.00000000,0.00000000,0.00000000
GTOTUSD,0.00000000,0.00000000,0.00000000,0.00000000
GTOUSDC,0.00000000,0.00000000,0.00000000,0.00000000
ERDBNB,0.00000000,0.00000000,0.00000000,0.00000000
ERDBTC,0.00000000,0.00000000,0.00000000,0.00000000
ERDUSDT,0.00000000,0.00000000,0.00000000,0.00000000
ERDPAX,0.00000000,0.00000000,0.00000000,0.00000000
ERDUSDC,0.00000000,0.00000000,0.00000000,0.00000000
DOGEBNB,0.00000000,0.00000000,0.00000000,0.00000000
DOGEBTC,0.00000911,268785.00000000,0.00000912,23.00000000
DOGEUSDT,0.35354000,16698.40000000,0.35361000,6785.60000000
DOGEPAX,0.00000000,0.00000000,0.00000000,0.00000000
DOGEUSDC,0.00000000,0.00000000,0.00000000,0.00000000
DUSKBNB,0.00000000,0.00000000,0.00000000,0.00000000
DUSKBTC,0.00000327,2112.00000000,0.00000328,27424.00000000
DUSKUSDT,0.12690000,1246.21000000,0.12740000,1938.96000000
DUSKUSDC,0.00000000,0.00000000,0.00000000,0.00000000
DUSKPAX,0.00000000,0.00000000,0.00000000,0.00000000
BGBPUSDC,0.00000000,0.00000000,0.00000000,0.00000000
ANKRBNB,0.00032280,18469.00000000,0.00032500,617.00000000
ANKRBTC,0.00000285,7176.00000000,0.00000286,215748.00000000
ANKRUSDT,0.11051000,359.90000000,0.11063000,8082.90000000
ANKRTUSD,0.00000000,0.00000000,0.00000000,0.00000000
ANKRPAX,0.00000000,0.00000000,0.00000000,0.00000000
ANKRUSDC,0.00000000,0.00000000,0.00000000,0.00000000
ONTPAX,0.00000000,0.00000000,0.00000000,0.00000000
ONTUSDC,0.00000000,0.00000000,0.00000000,0.00000000
WINBNB,0.00000153,21216145.00000000,0.00000155,64754722.00000000
WINBTC,0.00000000,0.00000000,0.00000000,0.00000000
WINUSDT,0.00052520,363372.00000000,0.00052570,106961.00000000
WINUSDC,0.00052490,1253858.00000000,0.00053040,9074564.00000000
COSBNB,0.00004053,1251.00000000,0.00004067,43519.00000000
COSBTC,0.00000035,6517864.00000000,0.00000036,4035409.00000000
COSUSDT,0.01384000,41510.70000000,0.01385000,59065.30000000
TUSDBTUSD,0.00000000,0.00000000,0.00000000,0.00000000
NPXSUSDT,0.00000000,0.00000000,0.00000000,0.00000000
NPXSUSDC,0.00000000,0.00000000,0.00000000,0.00000000
